Домен;Темы сайта;Видимость в поиске;Видимость 30 дней назад;Видимость 90 дней назад;Видимость 180 дней назад;Видимость 365 дней назад;Прогресс видимости за 30 дней;Прогресс видимости за 90 дней;Прогресс видимости за 180 дней;Прогресс видимости за 365 дней;Ключей в органике;Позиций в органике;Трафик;Ключей в контексте;Активных объявлений в контексте;Всего объявлений в контексте;Страницы;Процент в топ 1 по домену;Процент в топ 3 по домену;Процент в топ 5 по домену;Процент в топ 10 по домену;domain_organic_keywords_top20_procent;domain_organic_keywords_top30_procent;Рейтинг домена по трафику;Рейтинг домена по ключам;Пересекающиеся ключи;Похожесть
"perevozka24.ru";"екатеринбург расстояние машине аренда москва казань тагил";498.25;474.44;429.81;355.42;237.32;23.81;68.44;142.83;260.93;19036;19123;6116;73;52;1534;6931;2;12;33;97;100;100;1530;617;18;1
"stroykalkulyator.ru";"калькулятор онлайн болт щебня расчет герметика 20";10.35;12.92;22.25;25.15;18.68;-2.57;-11.9;-14.8;-8.33;365;365;127;0;0;0;103;13;35;51;94;100;100;31873;20902;5;1
"profiminer.ru";"гок россии металл екатеринбург инкотермс экспо металлургические";23.54;23.92;21.23;17.03;16.02;-0.38;2.31;6.51;7.52;570;583;289;0;0;0;226;13;28;45;91;100;100;17246;14359;5;1
"uralint.ru";"купить екатеринбурге цена мм арматура лист гипсокартон";169.13;168.41;114.53;89.03;69.03;0.72;54.6;80.1;100.1;3392;3403;2076;0;0;376;1474;4;17;32;79;100;100;3577;2968;6;1
"www.testprom.ru";"гост 80 допуски 79 74 82 23518";63.38;65.54;66.86;56.45;47.79;-2.16;-3.48;6.93;15.59;2430;2432;778;0;0;462;1462;6;20;41;93;100;100;8013;3949;5;1
"ekaterinburg.promportal.su";"купить екатеринбурге цена бу контейнер панели труба";84.16;77.37;50;51.1;46.33;6.79;34.16;33.06;37.83;4016;4018;1033;0;0;3;7262;1;13;29;82;100;100;6354;2546;10;1
"ekaterinburg.regtorg.ru";"купить екатеринбурге цена контейнер области свердловской б";65.5;68.64;66.02;61.1;53.38;-3.14;-0.52;4.4;12.12;3695;3696;804;0;0;0;4569;1;11;26;84;100;100;7772;2751;10;1
"www.sdvor.com";"екатеринбурге купить строительный двор цена каталог товаров";1581.28;1570.76;1497.27;1469.41;1462.44;10.52;84.01;111.87;118.84;21859;22853;19410;30707;4700;78083;8283;7;23;41;89;100;100;619;547;27;1
"m-strana.ru";"своими руками дом размеры сделать высота ванной";2471.39;2522.83;2483.07;2239.57;1936.15;-51.44;-11.68;231.82;535.24;60715;61935;30336;0;0;5;8293;16;39;59;97;100;100;437;219;27;1
"uslugi.yandex.ru";"екатеринбург ремонт цена дому массаж недорого юрист";8671.79;7681.87;7092.76;6899.33;6190.15;989.92;1579.03;1772.46;2481.64;87635;87769;106445;3964;2706;217008;52623;11;41;62;96;100;100;141;159;67;1
"www.avito.ru";"екатеринбурге купить квартиру дом цена авито работа";82151.07;85003.93;92225.52;93774.25;92954.31;-2852.86;-10074.45;-11623.18;-10803.24;957883;995162;1008393;95503;44041;743046;711701;18;41;60;91;100;100;13;11;193;1
